CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3693664,"33 Cherrywood Cres, Fairview, Dublin 22, D22 EP98, Ireland",standard,2022-01-30,295000,3,1,Semi-D,104.0,Buy,0,9391.0,Declan Cassidy,Quillsen Fairview,BRANDED_AGENT,19.0,False,False,False,E1,-6.239617,53.370458,-6.412139199999999,53.3190149
3693654,"17 Newtown Ct, Priorswood, Dublin, Ireland",standard,2022-01-30,150000,2,1,Apartment,66.0,Buy,0,2587.0,Michael O'Donovan Jnr,Sherry FitzGerald O'Donovan Mallow,BRANDED_AGENT,11.0,False,False,False,D2,-8.64758,52.137738,-6.186024199999999,53.4034371
3693656,"S Lotts Rd, Dublin 4, Ireland",standard,2022-01-30,350000,2,1,Apartment,61.0,Buy,0,9556.0,Philip Thome,Leonard Wilson Keenan Estates & Letting Agents,BRANDED_AGENT,22.0,True,False,False,SI_666,-6.307505,53.393763,-6.2304603,53.3404699
3688715,"39 Woodbrook Cres, Porterstown, Dublin, Ireland",standard,2022-01-28,297000,2,2,Apartment,75.0,Buy,0,11276.0,Alan McKenna,REA Halnon McKenna,BRANDED_AGENT,15.0,False,False,False,C2,-6.206906,53.312452,-6.4016514,53.3775882
3693566,"St Finian's Wy, Newcastle South, Co. Dublin, Ireland",standard,2022-01-28,600000,4,3,Detached,158.0,Buy,0,2757.0,Chesser Auctioneers,Chesser Auctioneers,BRANDED_AGENT,8.0,False,False,False,B2,-8.630317,52.663528,-6.5038832,53.2991403
3693561,"Priors Gate, Greenhills Rd Ext, Tallaght, Dublin 24, Ireland",standard,2022-01-28,160000,1,1,Apartment,64.0,Buy,0,9556.0,Philip Thome,Leonard Wilson Keenan Estates & Letting Agents,BRANDED_AGENT,23.0,True,False,False,E2,-6.277341,53.380532,-6.3563775,53.2874624
3693507,"120 Tudor Lawns, Galloping Green South, Dublin 18, D18 C9E2, Ireland",standard,2022-01-28,650000,4,2,Semi-D,108.0,Buy,0,3253.0,Matthew Scanlon,E & M Scanlon Auctioneers & Estate Agents Ltd,UNBRANDED_AGENT,18.0,False,False,False,C2,-8.507831,54.082373,-6.193458800000001,53.27217479999999
3693515,"16 Galtymore Cl, Drimnagh, Dublin, D12 AP84, Ireland",standard,2022-01-28,320000,3,1,Terrace,78.0,Buy,0,11561.0,Astrid Lyons MSCSI MRICS,DNG Donnybrook,BRANDED_AGENT,13.0,False,False,False,E2,-6.232827,53.315508,-6.3244241,53.330862
3557881,"Merrion Rd, Dublin, Ireland",standard,2022-01-30,500000,2,2,Apartment,75.0,Buy,0,2593.0,Bowe Property Bandon,Bowe Property,BRANDED_AGENT,18.0,False,False,False,A2,-8.750341,51.749494,-6.2156745,53.3205751
3693342,"116 Avondale Rd, Ballinclea, Killiney, Co. Dublin, A96 W2K6, Ireland",standard,2022-01-28,895000,4,1,Detached,180.0,Buy,0,10001.0,Janet Carroll MIPAV MMCEPI TRV,Janet Carroll Estate Agent,BRANDED_AGENT,14.0,True,False,False,C2,-6.212104,53.329561,-6.1316249,53.26892849999999
3693344,"18 Stratton Grove, Finnstown, Lucan, Co. Dublin, Ireland",standard,2022-01-28,275000,2,2,Apartment,84.0,Buy,0,9172.0,Danny Butler BSc,Smith & Butler Estates,BRANDED_AGENT,24.0,False,False,False,C2,-6.196806,53.442854,-6.4640084,53.3376503
3693349,"25 Upper Cross Rd, Rialto, Dublin, D08 CH5X, Ireland",standard,2022-01-30,425000,3,1,Terrace,135.0,Buy,0,2786.0,DNG Burke Connolly Maloney,DNG Burke Connolly Maloney,UNBRANDED_AGENT,9.0,False,False,False,A2,-9.212384940968889,53.8037282323981,-6.3009061,53.3359027
3693338,"Dodder Bank, Bóthar Chluain Sceach, Rathmines, Dublin 6, Ireland",standard,2022-01-29,475000,2,2,Apartment,78.0,Buy,0,3765.0,Mary Fahy,O'Donnellan & Joyce,BRANDED_AGENT,8.0,False,False,False,E1,-8.967377,53.250871,-6.2406101,53.3139246
3693308,"50 Beverly Ave, Bóthar Bhaile Scallart, Schollarstown, Baile Átha Cliath 16, Co. Dublin, D16 X0F5, Ireland",standard,2022-01-28,460000,4,2,Semi-D,105.0,Buy,0,2840.0,Gary Corroon M.I.P.A.V.,Sherry FitzGerald Davitt & Davitt,BRANDED_AGENT,23.0,False,False,False,C3,-7.353889,53.52958,-6.320721799999999,53.2807523
3693246,"Priors Gate, Greenhills Rd Ext, Tallaght, Dublin 24, Ireland",standard,2022-01-28,180000,1,1,Apartment,64.0,Buy,0,7193.0,Niall Black,Shane Black Property Advisors & Agents,BRANDED_AGENT,29.0,True,False,False,D1,-6.27415,53.695631,-6.3563775,53.2874624
3693231,"11 St Margaret's Rd, St Margaret's Ct, Finglas, Dublin 11, D11 YY11, Ireland",standard,2022-01-29,380000,3,3,Semi-D,119.0,Buy,0,9234.0,Kevin Dolly,DMPC Ltd,BRANDED_AGENT,9.0,False,False,False,C3,-6.246722,53.355174,-6.302629899999999,53.39918249999999
3693188,"36 Craoibhin Park, Balbriggan, Co. Dublin, K32 E023, Ireland",standard,2022-01-30,249000,2,1,End of Terrace,68.0,Buy,0,9917.0,Rachel Cunningham,DNG Fairview,BRANDED_AGENT,22.0,False,False,False,F,-6.225284,53.380254,-6.1788346,53.604992
3692840,"8 Manorfields Dale, Huntstown, Clonee, Co. Dublin, D15 R9P9, Ireland",standard,2022-01-28,370000,3,3,Semi-D,100.0,Buy,0,2655.0,Martin Doyle,Sherry FitzGerald Drumcondra,BRANDED_AGENT,16.0,False,False,False,C1,-6.256545,53.368939,-6.425032600000001,53.3988266
3693087,"93 Woodford Rd, Yellowmeadows, Dublin 22, D22 P5K0, Ireland",standard,2022-01-29,295000,3,1,Terrace,230.0,Buy,0,1985.0,Declan Woulfe,DNG Declan Woulfe,UNBRANDED_AGENT,25.0,True,True,False,B3,-9.286518,52.364985,-6.3847445,53.324552
3693085,"36 Foxborough Dr, Balgaddy, Lucan, Co. Dublin, K78 EH01, Ireland",standard,2022-01-29,325000,3,1,Semi-D,86.0,Buy,0,2640.0,Thomas Fitzpatrick,Sherry FitzGerald Lucan,BRANDED_AGENT,13.0,False,False,False,D1,-6.418221,53.352547,-6.4273127,53.3415141
3693083,"53 Carrig Ct, Fortunestown, Dublin, Ireland",standard,2022-01-29,219000,2,1,Apartment,65.0,Buy,0,11766.0,Karen Mulvaney,KM Property,BRANDED_AGENT,13.0,True,False,False,F,-6.182233,53.378849,-6.4302592,53.2843751
3692932,"2, 55 Northumberland Rd, Ballsbridge, Dublin 4, D04 X9A0, Ireland",standard,2022-01-27,335000,1,1,Apartment,47.0,Buy,0,8806.0,Isabelle Crean,BidX1,BRANDED_AGENT,3.0,False,False,False,SI_666,-6.971524,53.8518,-6.2370361,53.3340128
3692926,"Coliemore Rd, Dalkey, Dublin, Ireland",standard,2022-01-29,1195000,2,2,Apartment,110.0,Buy,0,8806.0,Kevin Keogh,BidX1,BRANDED_AGENT,8.0,False,False,False,E1,-6.196901,53.40362,-6.095236,53.2758355
3643829,"3 Moylaragh Park, Tankardstown, Balbriggan, Co. Dublin, K32 X990, Ireland",standard,2022-01-27,245000,3,3,Terrace,94.0,Buy,0,1589.0,Joe McDonnell,Joe McDonnell Auctioneer,UNBRANDED_AGENT,13.0,False,True,False,F,-6.987547,52.998888,-6.197321199999999,53.61149229999999
3471003,"Ashgrove, Lusk, Co. Dublin, Ireland",standard,2022-01-27,255000,3,2,Terrace,82.0,Buy,0,2579.0,Catherine Pomeroy,Dick Pomeroy & Co. Auctioneers & Valuers,UNBRANDED_AGENT,29.0,False,False,False,D1,-9.061483,52.059892,-6.1756199,53.5270057
3692768,"12 Ashwood Rd, Clonburris Great, Dublin 22, D22 EF98, Ireland",standard,2022-01-28,325000,3,1,Semi-D,103.0,Buy,0,6223.0,Gary Jacobs MSCSI MRICS,Allen & Jacobs,BRANDED_AGENT,44.0,True,True,False,A2,-6.266741,53.294004,-6.4091765,53.3263125
3692764,"6 Diswellstown Heath, Carpenterstown, Dublin, D15 RX2N, Ireland",standard,2022-01-30,645000,4,4,Detached,152.0,Buy,0,9330.0,Nick Crawford,Crawfords,UNBRANDED_AGENT,8.0,False,False,False,D1,-6.107266,53.275199,-6.3827275,53.369574
3692751,"17 Lorcan Grove, Whitehall, Dublin 9, D09 PR28, Ireland",standard,2022-01-29,425000,3,1,Semi-D,120.0,Buy,0,1367.0,Siobhan Lynam,Lynam Auctioneers & Estate Agents,BRANDED_AGENT,16.0,False,False,False,C3,-6.328106,53.269252,-6.2380892,53.3911423
3692714,"175 Captain's Rd, Crumlin, Dublin 12, D12 E7P0, Ireland",standard,2022-01-28,335000,2,1,Terrace,67.0,Buy,0,2248.0,REA Eoin Dillon,REA Eoin Dillon,UNBRANDED_AGENT,11.0,False,False,False,XXX,-8.1962372,52.869498,-6.306116599999999,53.3167459
3692689,"11 Hunters Ave, Hunters Wood, Dublin 24, D24 V5Y6, Ireland",standard,2022-01-30,475000,3,3,Terrace,143.0,Buy,0,3765.0,Mary Fahy,O'Donnellan & Joyce,BRANDED_AGENT,3.0,False,False,False,C2,-7.777637,53.723601,-6.3301054,53.27160629999999
3692688,"8 Stirling Park, Rathmines Great, Dublin 14, D14 TX67, Ireland",standard,2022-01-30,1300000,4,3,Semi-D,250.0,Buy,0,2838.0,John Rohan,Sherry FitzGerald John Rohan,BRANDED_AGENT,15.0,False,False,False,C3,-7.110113,52.272869,-6.2600829,53.3056128
3692673,"14 Emerald Square, Saint James' (part of Phoenix Park), Dublin, D08 Y0E9, Ireland",standard,2022-01-30,280000,2,1,Detached,54.0,Buy,0,911.0,Sharon Egan,Sherry FitzGerald Galway,BRANDED_AGENT,19.0,False,False,False,D1,-9.129196,53.265881,-6.2905759,53.33544
3692642,"14 Stocking Wood Walk, Rathfarnham, Dublin 16, D16 DW66, Ireland",standard,2022-01-27,535000,4,4,Semi-D,119.0,Buy,0,3358.0,Conor Spillane,DNG Spillane,BRANDED_AGENT,24.0,False,False,False,E2,-7.847003,51.953915,-6.3167734,53.2719944
3692637,"70 Gleann na Ri, Druid Valley, Cabinteely, Co. Dublin, D18 KW6H, Ireland",standard,2022-01-27,424950,3,4,Duplex,127.0,Buy,0,3249.0,Donal P. O'Mahony,Donal P. O'Mahony Auctioneer & Valuer,UNBRANDED_AGENT,14.0,False,False,False,D2,-8.281053,51.855849,-6.1435381,53.2461815
3692612,"Apartment 29, Block 2, 16 Dundrum Rd, Farranboley, Dublin, Ireland",standard,2022-01-28,295000,1,1,Apartment,46.0,Buy,0,3983.0,Paula Treacy,Paula Treacy Estates,BRANDED_AGENT,19.0,False,False,False,B1,-6.580558,52.514062,-6.2455696,53.3053925
3470884,"Apartment 31, Compass Court North, 15 Ascaill Bhaile Pheiléid, Royal Canal Park, Ashtown, Dublin, Ireland",standard,2022-01-27,280000,2,2,Apartment,68.0,Buy,0,3091.0,Catherine O'Connor,Colliers,BRANDED_AGENT,21.0,True,False,False,C3,-6.214916,53.255413,-6.3176295,53.3763611
3470692,"Apartment 31, Compass Court North, 15 Ascaill Bhaile Pheiléid, Royal Canal Park, Ashtown, Dublin, Ireland",standard,2022-01-27,280000,2,1,Apartment,60.0,Buy,0,418.0,Christian Dodd,McGovern Estates,BRANDED_AGENT,15.0,False,False,False,B2,-6.061177,53.129219,-6.3176295,53.3763611
3692593,"Premier Square, Premier Square, Finglas Rd, Finglas, Dublin 11, Ireland",standard,2022-01-28,295000,3,2,Apartment,91.0,Buy,0,399.0,Lloyd Daly & Associates - Sales,Lloyd Daly & Associates Ltd.,BRANDED_AGENT,11.0,False,False,False,C3,-6.377117,53.392262,-6.289761899999999,53.3817894
3692581,"50 Drynam Rise, Drynam Hall, Swords, Co. Dublin, K67 DK70, Ireland",standard,2022-01-27,330000,3,3,Terrace,107.0,Buy,0,11754.0,Cormac Sheehy,Remax Team Earley,BRANDED_AGENT,18.0,False,True,False,D1,-8.248673,53.777816,-6.201232999999999,53.4419434
3692558,"131 Butterfield Ave, Rathfarnham, Dublin 14, D14 AW72, Ireland",standard,2022-01-29,745000,4,2,Semi-D,164.0,Buy,0,453.0,Avril Ward MIPAV MMCEPI,Delaney Estates,BRANDED_AGENT,28.0,False,False,False,D2,-6.210988,53.387331,-6.2930998,53.2969673
3692548,"Forest Hills, Forest Rd, Forestfields, Swords, Co. Dublin, Ireland",standard,2022-01-28,375000,3,2,End of Terrace,110.0,Buy,0,5384.0,Ivan Connaughton,Connaughton Auctioneers Ltd T/A Connaughton Auctioneers Roscommon,BRANDED_AGENT,28.0,True,False,False,C1,-8.230835,53.466708,-6.235316399999999,53.4484256
3691492,"23 Meath St, Saint Catherine's, Dublin, D08 N6K5, Ireland",standard,2022-01-27,295000,1,1,End of Terrace,31.0,Buy,0,1900.0,Orna Lenehan,Sherry Property Consultants,BRANDED_AGENT,34.0,True,False,False,D1,-6.42482,54.018292,-6.2800204,53.3409139
3692487,"Apartment 100, Whatley Hall, Coill an Áirséaraigh, Parslickstown, Clonee, Co. Dublin, Ireland",standard,2022-01-28,245000,2,2,Apartment,83.0,Buy,0,8806.0,Daniel Larkin,BidX1,BRANDED_AGENT,3.0,False,False,False,B3,-8.516884,51.874648,-6.4075204,53.4043808
3692479,"150, 4 Bloomfield Park, Portobello, Dublin, D08 P2F6, Ireland",standard,2022-01-27,425000,1,1,Apartment,55.0,Buy,0,8806.0,Daniel Larkin,BidX1,BRANDED_AGENT,1.0,False,False,False,E1,-6.667763,53.872287,-6.2724612,53.3303131
